id,name,trafficType,municipality,county,roadCategory,road_ref,lat,lon,YADTV_2019,YoY_ratio,YoY_bins
02489V121427,VOLLEVATN,VEHICLE,Kristiansand,Agder,F,FV452 S1D1 m246,58.166603,8.033386,10489.0,1.07,3) -10%...+10%
56100V804816,RAMPE SØRÅS MOT HOP,VEHICLE,Bergen,Vestland,E,EV39 S78D1 m6434 KD3 m172,60.325803,5.337152,3466.0,0.98,3) -10%...+10%
03119V886010,STRAND N.,VEHICLE,Sortland,Nordland,F,FV82 S8D1 m302,68.709501,15.441047,2453.0,1.06,3) -10%...+10%
03486V319647,ØLEN/ETNE,VEHICLE,Vindafjord,Rogaland,E,EV134 S4D1 m17916,59.623114,5.886108,3976.0,1.15,4) +10%...+25%
00030V705190,MATRAND S,VEHICLE,Eidskog,Innlandet,R,RV2 S2D1 m4362,60.020618,12.113421,6472.0,0.57,1) <-25%
08162V578326,Elberg,VEHICLE,Levanger,Trøndelag,F,FV6878 S1D1 m427,63.748076,11.314128,2878.0,1.07,3) -10%...+10%
90304V1787932,STEINE,VEHICLE,Gausdal,Innlandet,F,FV255 S2D1 m11006,61.219865,10.254452,4498.0,1.08,3) -10%...+10%
80982V249217,Spjelkavik N.,VEHICLE,Ålesund,Møre og Romsdal,F,FV5948 S3D1 m381,62.462694,6.356163,8867.0,1.26,5) >+25%
29614V805708,SOTRABRUA VEST,VEHICLE,Øygarden,Vestland,R,RV555 S1D1 m11739,60.372022,5.155573,27941.0,1.01,3) -10%...+10%
02087V625292,EV 18 V/ MASTEMYR,VEHICLE,Oslo,Oslo,E,EV18 S56D1 m8647,59.828033,10.777597,16297.0,0.96,3) -10%...+10%
99100B1687283,Menstad sykkeltellepunkt,BICYCLE,Skien,Vestfold og Telemark,F,FV32 S8D1 m316,59.171914,9.643459,128.0,0.91,3) -10%...+10%
11101B1800681,Garpa - sykkel,BICYCLE,Verdal,Trøndelag,F,FV757 S1D320 m130,63.795114,11.494511,152.0,0.43,1) <-25%
87780V2518835,KNAPPETUNNELEN-BERGEN,VEHICLE,Bergen,Vestland,F,FV557 S1D1 m8960,60.366044,5.251379,4782.0,0.97,3) -10%...+10%
70741V384496,NAUSTDALSTUNNELEN,VEHICLE,Sunnfjord,Vestland,R,RV5 S15D1 m3552,61.535879,5.709482,2209.0,1.27,5) >+25%
05960V384024,REED VEST,VEHICLE,Gloppen,Vestland,E,EV39 S51D1 m9680,61.739454,6.390419,2347.0,1.09,3) -10%...+10%
09726V248991,Drivabrua,VEHICLE,Sunndal,Møre og Romsdal,F,FV62 S7D1 m9725,62.672637,8.553223,5927.0,1.02,3) -10%...+10%
10537V1125836,Andsvatnet v/værstasjon,VEHICLE,Sørreisa,Troms og Finnmark,F,FV86 S1D1 m10420,69.091782,18.296975,1028.0,1.04,3) -10%...+10%
71197B2165753,VESSØYVEIEN SYKKEL,BICYCLE,Grimstad,Agder,F,FV420 S7D1 m4551,58.335011,8.588505,150.0,1.11,4) +10%...+25%
86207V319742,Lagårdsveien,VEHICLE,Stavanger,Rogaland,F,FV44 S18D1 m5537,58.959297,5.739476,9992.0,1.03,3) -10%...+10%
64407V2100984,STEINFELT,VEHICLE,Nordre Follo,Viken,F,FV152 S6D1 m4956,59.759858,10.81679,7692.0,1.2,4) +10%...+25%
30961B1175469,STENMALEN-SYKKEL,BICYCLE,Tønsberg,Vestfold og Telemark,F,FV325 S1D1 m1784,59.27665,10.411814,382.0,0.97,3) -10%...+10%
53749B1700621,TUNEVANNET SYKKEL,BICYCLE,Sarpsborg,Viken,F,FV118 S5D50 m861,59.292846,11.084058,94.0,0.96,3) -10%...+10%
58272V2583663,Granstunnelen sørgående,VEHICLE,Gran,Innlandet,R,RV4 S9D1 m9529,60.356394,10.583513,3929.0,1.11,4) +10%...+25%
21565V1060643,JORA,VEHICLE,Dovre,Innlandet,E,EV136 S17D1 m13734,62.087884,9.104046,3015.0,1.08,3) -10%...+10%
27436V2172082,HANEKLEIV SYD,VEHICLE,Holmestrand,Vestfold og Telemark,E,EV18 S43D1 m5301,59.551896,10.179854,27260.0,1.12,4) +10%...+25%
63779V443654,SIKTA HEGGEDAL,VEHICLE,Asker,Viken,F,FV167 S2D1 m2854,59.801257,10.445205,13228.0,1.09,3) -10%...+10%
88029V1060188,JØRSTADMOEN,VEHICLE,Lillehammer,Innlandet,F,FV253 S1D1 m6375,61.149678,10.388743,1285.0,1.1,3) -10%...+10%
80565B1689290,Nenset sykkeltellepunkt,BICYCLE,Skien,Vestfold og Telemark,R,RV36 S2D100 m1823,59.168377,9.634257,182.0,0.88,2) -25%...+10%
